合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000348	510050P1603M02200	50ETF沽3月2200	50ETF(510050)	认沽	2.200	10000	20160323	20160324	20160323	否	0.2760	0.0001	0.0830	否	否
10000334	510050P1603M02250	50ETF沽3月2250	50ETF(510050)	认沽	2.250	10000	20160323	20160324	20160323	否	0.3034	0.0001	0.1004	否	否
10000328	510050P1603M02300	50ETF沽3月2300	50ETF(510050)	认沽	2.300	10000	20160323	20160324	20160323	否	0.3316	0.0001	0.1186	否	否
10000322	510050P1603M02350	50ETF沽3月2350	50ETF(510050)	认沽	2.350	10000	20160323	20160324	20160323	否	0.3624	0.0001	0.1394	否	否
10000312	510050P1603M02400	50ETF沽3月2400	50ETF(510050)	认沽	2.400	10000	20160323	20160324	20160323	否	0.3941	0.0001	0.1611	否	否
10000313	510050P1603M02450	50ETF沽3月2450	50ETF(510050)	认沽	2.450	10000	20160323	20160324	20160323	否	0.4301	0.0001	0.1871	否	否
10000314	510050P1603M02500	50ETF沽3月2500	50ETF(510050)	认沽	2.500	10000	20160323	20160324	20160323	否	0.4620	0.0001	0.2150	否	否
10000315	510050P1603M02550	50ETF沽3月2550	50ETF(510050)	认沽	2.550	10000	20160323	20160324	20160323	否	0.4906	0.0001	0.2436	否	否
10000316	510050P1603M02600	50ETF沽3月2600	50ETF(510050)	认沽	2.600	10000	20160323	20160324	20160323	否	0.5211	0.0271	0.2741	否	否
10000292	510050P1603M02650	50ETF沽3月2650	50ETF(510050)	认沽	2.650	10000	20160323	20160324	20160323	否	0.5555	0.0615	0.3085	否	否
10000293	510050P1603M02700	50ETF沽3月2700	50ETF(510050)	认沽	2.700	10000	20160323	20160324	20160323	否	0.5902	0.0962	0.3432	否	否
10000294	510050P1603M02750	50ETF沽3月2750	50ETF(510050)	认沽	2.750	10000	20160323	20160324	20160323	否	0.6271	0.1331	0.3801	否	否
10000295	510050P1603M02800	50ETF沽3月2800	50ETF(510050)	认沽	2.800	10000	20160323	20160324	20160323	否	0.6644	0.1704	0.4174	否	否
10000296	510050P1603M02850	50ETF沽3月2850	50ETF(510050)	认沽	2.850	10000	20160323	20160324	20160323	否	0.7033	0.2093	0.4563	否	否
